v19,gt,0.1x-prior,0.2x-prior,0.3x-prior,0.4x-prior,0.5x-prior,1.5x-prior,3x-prior,5x-prior,7x-prior,10x-prior,0.1x-post,0.2x-post,0.3x-post,0.4x-post,0.5x-post,1.5x-post,3x-post,5x-post,7x-post,10x-post
1.0,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v1,v1,v18,v18,v18,v18,v18
2.0,v1,v8,v8,v14,v14,v14,v15,v15,v15,v15,v15,v14,v14,v14,v12,v7,v14,v14,v1,v14,v14
3.0,v14,v14,v14,v8,v8,v8,v16,v16,v16,v16,v17,v1,v1,v9,v5,v18,v1,v9,v14,v7,v7
4.0,v7,v17,v16,v17,v17,v17,v17,v17,v17,v17,v16,v7,v7,v1,v4,v9,v7,v3,v7,v1,v4
5.0,v4,v16,v17,v16,v16,v16,v14,v14,v14,v14,v14,v4,v4,v4,v9,v4,v4,v12,v4,v4,v15
6.0,v5,v13,v13,v13,v13,v15,v8,v5,v5,v5,v5,v8,v12,v12,v3,v8,v5,v2,v12,v5,v5
7.0,v12,v4,v4,v15,v15,v13,v5,v4,v4,v1,v4,v9,v8,v11,v18,v5,v9,v1,v15,v15,v1
8.0,v3,v1,v1,v4,v4,v4,v4,v1,v6,v4,v6,v13,v3,v3,v7,v11,v8,v5,v9,v12,v9
9.0,v9,v15,v7,v1,v1,v1,v1,v6,v1,v6,v1,v3,v13,v8,v2,v3,v12,v4,v3,v2,v2
10.0,v8,v7,v15,v7,v5,v5,v6,v7,v7,v7,v7,v12,v5,v2,v17,v12,v10,v15,v5,v9,v12
11.0,v13,v6,v6,v5,v6,v7,v13,v8,v8,v9,v11,v5,v16,v13,v8,v13,v13,v7,v6,v10,v3
12.0,v11,v5,v5,v6,v7,v6,v7,v13,v12,v8,v10,v6,v11,v16,v16,v10,v15,v10,v2,v11,v6
13.0,v10,v12,v12,v10,v11,v9,v9,v12,v11,v10,v8,v11,v17,v5,v13,v17,v6,v8,v16,v6,v16
14.0,v15,v9,v11,v9,v12,v11,v10,v11,v13,v13,v9,v10,v9,v15,v10,v16,v2,v13,v17,v13,v10
15.0,v16,v11,v3,v11,v9,v10,v11,v10,v10,v11,v2,v16,v10,v6,v6,v2,v3,v11,v13,v3,v11
16.0,v6,v3,v9,v3,v10,v12,v12,v9,v3,v3,v12,v17,v6,v7,v15,v14,v11,v16,v8,v16,v13
17.0,v17,v10,v10,v2,v3,v2,v3,v2,v9,v2,v13,v2,v15,v10,v11,v6,v17,v6,v11,v8,v17
18.0,v2,v2,v2,v12,v2,v3,v2,v3,v2,v12,v3,v15,v2,v17,v14,v15,v16,v17,v10,v17,v8
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
